addr:street	addr:housenumber	addr:postcode
Jadwigi Majówny	14a	30-298
Aleja Panieńskich Skał	3	30-225
Grzegorza Korzeniaka	49	30-298
Bolesława Leśmiana	11	30-240
Daleka	3	30-245
Księcia Józefa	261	30-250
Krucza	11	30-245
Wilczy Stok	15	30-237
Sokola	41	30-244
Olszanicka	21	30-241
Porzecze	6	30-298
Zofii Stryjeńskiej	11	30-298
Pod Szańcami	2	30-240
Sokola	4	30-244
Morelowa	24a	30-222
Zakamycze	42	30-240
Wiosenna	12	30-237
Włodzimierza Puchalskiego	12	30-244
Aleja Kasztanowa	54	30-227
Zakręt	30	30-245
Księcia Józefa	285	30-250
Sarnie Uroczysko	5	30-225
28 Lipca 1943	27b	30-233
Bodziszkowa	8	30-223
Jadwigi Majówny	23	30-298
Księcia Józefa	205	30-250
Królowej Jadwigi	291	30-234
Królowej Jadwigi	319	30-234
Bolesława Leśmiana	5	30-240
Orla	4	30-244
Rysi Stok	11	30-237
Sokola	6a	30-244
Zakręt	20	30-245
Przyszłości	14	30-237
Królowej Jadwigi	270	30-218
Aleja Kasztanowa	47c	30-227
Księcia Józefa	293	30-243
Jadwigi Majówny	78	30-298
Księcia Józefa	112a	30-250
Jemiołuszek	4	30-244
Aleja Kasztanowa	47b	30-227
Bolesława Leśmiana	1C	30-240
Jana i Józefa Kotlarczyków	20	30-225
Królowej Jadwigi	286	30-218
Królowej Jadwigi	284	30-218
Rzepichy	5a	30-240
Za Skłonem	13	30-240
Jadwigi Majówny	10	30-298
Władysława Raczkiewicza	15	30-298
Aleja Kasztanowa	5a	30-227
Przyszłości	10	30-237
Daleka	6	30-245
Księcia Józefa	279	30-250
Rzepichy	51a	30-240
Olszanicka	34b	30-241
Porzecze	10	30-298
Zaogrodzie	15a	30-243
Księcia Józefa	168a	30-243
Bolesława Leśmiana	10	30-240
Aleja Modrzewiowa	15	30-224
Insurekcji Kościuszkowskiej	3	30-298
Wiosenna	20	30-237
Rzepichy	62	30-240
Krucza	3	30-245
Niezapominajek	17	30-239
Jana i Józefa Kotlarczyków	21	30-225
Aleja Kasztanowa	42	30-227
Zaogrodzie	31	30-243
Jadwigi Majówny	62	30-298
Za Skłonem	9	30-240
Za Skłonem	14	30-240
Rysi Stok	14	30-237
Na Wierzchowinach	9	30-222
Jesionowa	8a	30-222
Księcia Józefa	114	30-250
Grabowa	16	30-227
Grzegorza Korzeniaka	7	30-298
Dworna	21a	30-244
Jadwigi Majówny	42	30-298
Powstania Styczniowego	2	30-298
Orla	60a	30-244
Przyszłości	12	30-237
Księcia Józefa	198a	30-243
Wiosenna	14a	30-237
Nad Źródłem	8	30-298
Grzegorza Korzeniaka	61	30-298
Leona Chwistka	6	30-227
Jodłowa	14a	30-251
Jadwigi Majówny	28	30-298
Olszanicka	31	30-241
Jantarowa	8	30-298
Jesionowa	20b	30-222
Grzegorza Korzeniaka	17	30-298
Krucza	8	30-245
Sokola	58	30-244
Jadwigi Majówny	8	30-298
Księcia Józefa	227	30-250
Kogucia	12	30-222
Jadwigi Majówny	5	30-298
Aleja Modrzewiowa	20a	30-224
Czajek	14	30-245
Ireny Kosmowskiej	3	30-240
Morelowa	22	30-222
Jadwigi Majówny	4	30-298
Orla	48	30-244
Orla	44	30-244
Bodziszkowa	6a	30-223
Chełmska	15	30-238
Zielony Dół	5	30-228
Orla	52	30-244
Junacka	15	30-237
Jesionowa	20e	30-222
Za Skłonem	20	30-240
Chełmska	44	30-238
Rzepichy	36	30-240
Chełmska	46	30-238
Grabowa	6	30-227
Jesionowa	20d	30-222
Bodziszkowa	6	30-223
Królowej Jadwigi	283	30-234
Chełmska	2a	30-238
Starowolska	3	30-231
Aleja Sosnowa	5	30-224
Królowej Jadwigi	247	30-218
Chełmska	4a	30-238
Jadwigi Majówny	22	30-298
Księcia Józefa	337a	30-243
Nad Źródłem	2	30-240
Grzegorza Korzeniaka	63	30-298
Królowej Jadwigi	294	30-218
Inżyniera Adama Bielańskiego	2	30-244
Księcia Józefa	183	30-250
Przyszłości	14a	30-237
Jadwigi Majówny	56	30-298
Grzegorza Korzeniaka	13	30-298
Grzegorza Korzeniaka	9	30-298
Królowej Jadwigi	294a	30-218
Ireny Kosmowskiej	11	30-240
Jesionowa	20c	30-222
Daleka	21	30-245
Zakamycze	55	30-240
Starowolska	19c	30-231
Zakamycze	47a	30-240
Królowej Jadwigi	297	30-234
Kogucia	14	30-222
Przyszłości	8	30-237
Na Wirach	20	30-244
Starowolska	15a	30-231
Jadwigi Majówny	19	30-298
Rzepichy	1b	30-240
Krucza	9	30-245
Agrestowa	14	30-221
Księcia Józefa	181	30-250
Jontkowa Górka	18	30-224
Bolesława Leśmiana	8	30-240
Aleja Modrzewiowa	10d	30-224
Królowej Jadwigi	307k	30-234
Dworna	46a	30-244
Grzegorza Korzeniaka	15	30-298
Aleja Kasztanowa	25	30-227
Wincentego Oszustowskiego	9	30-243
Zofii Stryjeńskiej	10	30-298
Zakamycze	35a	30-240
Zakręt	1b	30-245
Jontkowa Górka	18a	30-224
Księcia Józefa	353	30-243
Chełmska	3a	30-238
Olszanicka	34a	30-241
Jadwigi Majówny	30	30-298
Czyżyków	6	30-244
Księcia Józefa	169	30-250
Aleja Modrzewiowa	11	30-224
Jadwigi Majówny	26	30-298
Aleja Kasztanowa	61	30-238
Sarnie Uroczysko	18	30-225
Księcia Józefa	162	30-243
Jontkowa Górka	13	30-224
Królowej Jadwigi	295	30-234
Orla	45a	30-244
Księcia Józefa	233	30-250
Przyszłości	3	30-237
Rysi Stok	9	30-237
Chełmska	25a	30-238
Junacka	27	30-237
Zofii Stryjeńskiej	14	30-298
Aleja Kasztanowa	11	30-227
Aleja Kasztanowa	64	30-238
Jesionowa	16	30-222
Cisowa	12	30-229
Kogucia	4	30-222
Orla	57	30-244
Księcia Józefa	335a	30-243
Sokola	2a	30-244
Starowolska	17	30-231
Zakamycze	37a	30-240
Jadwigi Majówny	64	30-298
Zofii Stryjeńskiej	8	30-298
Jadwigi Majówny	33	30-298
Księcia Józefa	201a	30-250
Księcia Józefa	265	30-250
Jontkowa Górka	29	30-224
Olszanicka	13a	30-241
Leśna	8b	30-232
Aleja Kasztanowa	2	30-227
Chełmska	13	30-238
Krucza	13	30-245
Jeleniowa	8	30-230
Adriana Baranieckiego	5	30-227
Zofii Stryjeńskiej	5b	30-298
Starowolska	15	30-231
Zofii Stryjeńskiej	7	30-298
Za Skłonem	4	30-240
Dworna	4	30-244
Poniedziałkowy Dół	9	30-231
Zakamycze	46	30-240
Księcia Józefa	283a	30-250
Aleja Kasztanowa	47a	30-227
Jadwigi Majówny	25a	30-298
Orla	33	30-244
Królowej Jadwigi	293	30-234
Powstania Styczniowego	22	30-298
Jodłowa	17a	30-251
Sępia	58	30-245
Aleja Kasztanowa	33	30-227
Jodłowa	42a	30-251
Jadwigi Majówny	42a	30-298
Królowej Jadwigi	287	30-234
Sarnie Uroczysko	22	30-225
Księcia Józefa	285F	30-243
Aleja Kasztanowa	41b	30-227
Chełmska	5a	30-238
Jontkowa Górka	10	30-224
Rędzina	1b	30-248
Królowej Jadwigi	296	30-218
Kazimierza Wyżgi	25	30-240
Królowej Jadwigi	275a	30-218
Orla	39c	30-244
Zakręt	46	30-245
28 Lipca 1943	23	30-233
Daleka	8	30-245
Jadwigi Majówny	50a	30-298
Jeleniowa	6	30-230
Aleja Sosnowa	7	30-224
Dolina	13	30-222
Halki	5b	30-228
Jontkowa Górka	15	30-224
Starowolska	5	30-231
Orla	61	30-244
Dworna	54	30-244
Zofii Stryjeńskiej	13	30-298
Księcia Józefa	255	30-250
Jontkowa Górka	12	30-224
Orla	25	30-244
Chełmska	40b	30-238
Aleja Modrzewiowa	7a	30-224
Aleja Sosnowa	9	30-224
Sarnie Uroczysko	10	30-225
Przyszłości	8a	30-237
Jana Łazarskiego	5	30-225
Na Wirach	33	30-244
Jeleniowa	18a	30-230
Jontkowa Górka	1a	30-224
Aleja Kasztanowa	49	30-227
Dolina	18	30-222
Orla	39b	30-244
Kazimierza Wyżgi	6	30-240
Sarnie Uroczysko	10a	30-225
Adriana Baranieckiego	10	30-227
Orla	24	30-244
Orla	39	30-244
Bielańska	9	30-244
Przegorzalska	21	30-252
Chełmska	27a	30-238
Księcia Józefa	379	30-243
Szaserów	6	30-298
Przyszłości	7	30-237
Zakręt	8a	30-245
Jodłowa	23	30-251
Orla	162	30-244
Zaszkolna	2	30-243
Agrestowa	3a	30-221
Leśna	23	30-232
Olszanicka	13	30-241
Inżyniera Adama Bielańskiego	23	30-244
Aleja Kasztanowa	17a	30-227
Orla	47	30-244
Kazimierza Wyżgi	19	30-240
Przyszłości	5	30-237
Królowej Jadwigi	255g	30-218
Jodłowa	27	30-251
Królowej Jadwigi	245	30-218
Za Skłonem	7	30-240
Na Wierzchowinach	23	30-222
Orla	39g	30-244
Zakręt	60	30-245
Starowolska	25b	30-231
Jana i Józefa Kotlarczyków	15	30-225
Halki	11	30-228
Aleja Kasztanowa	46b	30-227
Chełmska	48a	30-238
Puszczyków	17	30-244
Agrestowa	9	30-221
Księcia Józefa	267	30-250
Jontkowa Górka	21	30-224
Księcia Józefa	170	30-243
Dolina	15	30-222
Zakamycze	27	30-240
Księcia Józefa	311	30-243
Księcia Józefa	186b	30-243
Wiosenna	10b	30-237
Orla	39e	30-244
Dolina	3	30-222
Jadwigi Majówny	37a	30-298
Estreicherów	5	30-225
Jana i Józefa Kotlarczyków	17	30-225
Księcia Józefa	195	30-250
Bolesława Leśmiana	13	30-240
Okrąg	10	30-243
Junacka	12a	30-237
Kaszubska	6	30-245
Junacka	19	30-237
Za Skłonem	17a	30-240
Wiosenna	4a	30-237
Na Wirach	23	30-244
Księcia Józefa	228	30-243
Rysi Stok	2	30-237
Ireny Kosmowskiej	10b	30-240
Zaogrodzie	9	30-243
Za Skłonem	14b	30-240
Królowej Jadwigi	285	30-234
Jantarowa	5	30-298
Rzepichy	49	30-240
Cisowa	16	30-229
Jadwigi Majówny	36	30-298
Zaszkolna	4	30-243
Orla	39a	30-244
Dolina	16	30-222
Królowej Jadwigi	275	30-218
Zakamycze	64	30-240
Zakręt	2	30-245
Krucza	6	30-245
Leśna	6	30-232
Zielony Dół	5a	30-228
Jemiołuszek	8	30-244
Księcia Józefa	335	30-243
Aleja Modrzewiowa	12	30-224
Starowolska	25	30-231
Księcia Józefa	148a	30-243
Grzegorza Korzeniaka	41	30-298
Dworna	26	30-244
Halki	3	30-228
Orla	39f	30-244
Królowej Jadwigi	251	30-218
Olszanicka	28	30-241
Jontkowa Górka	15a	30-224
Chełmska	32	30-238
Bodziszkowa	4	30-223
Księcia Józefa	118	30-250
Księcia Józefa	295A	30-243
Halki	5a	30-228
Zofii Stryjeńskiej	8a	30-298
Czyżyków	10	30-244
Na Wirach	21	30-244
Okrąg	3	30-243
Jagiełka	8	30-240
Powstania Styczniowego	8	30-298
Przyszłości	16	30-237
Rysi Stok	10	30-237
Sokola	48	30-244
Orla	39h	30-244
Zofii Stryjeńskiej	3	30-298
Aleja Kasztanowa	56	30-227
Inżyniera Adama Bielańskiego	11	30-244
Aleja Kasztanowa	15	30-227
Jodłowa	14b	30-251
Junacka	17	30-237
Astronautów	16a	30-243
Królowej Jadwigi	289	30-234
Orla	39i	30-244
Królowej Jadwigi	315	30-234
Cisowa	11	30-229
Olszanicka	17	30-241
Aleja Kasztanowa	32a	30-227
Wiosenna	18	30-237
Cisowa	3a	30-229
Zakamycze	48a	30-240
Za Skłonem	10	30-240
Kopalina	14a	30-229
Oświęcimska	8	30-236
Grabowa	15	30-227
Morelowa	14a	30-222
Zielony Dół	3	30-228
Jodłowa	22	30-251
Kaszubska	1	30-245
Królowej Jadwigi	298	30-218
Bronisława Czecha	35	30-234
Królowej Jadwigi	275d	30-218
Orla	39d	30-244
Królowej Jadwigi	278	30-218
Kaszubska	10	30-245
Pod Szańcami	3	30-240
Królowej Jadwigi	281	30-234
Wiosenna	10c	30-237
Księcia Józefa	172	30-243
Kopalina	3	30-229
Rzepichy	58	30-240
Zakamycze	37b	30-240
Jontkowa Górka	9	30-224
Inżyniera Adama Bielańskiego	7	30-244
Księcia Józefa	231	30-250
Junacka	18	30-237
Rzepichy	27	30-240
Zielony Dół	1a	30-228
Aleja Kasztanowa	27b	30-227
Powstania Styczniowego	10	30-298
Starowolska	1	30-231
Sokola	80	30-244
Kopalina	8a	30-229
Aleja Modrzewiowa	22	30-224
Jana i Józefa Kotlarczyków	14	30-225
Za Skłonem	14a	30-240
Księcia Józefa	96	30-250
Jadwigi Majówny	26a	30-298
Jadwigi Majówny	9	30-298
Kazimierza Nitscha	9	30-225
Nad Źródłem	5	30-240
Powstania Styczniowego	8b	30-298
Ireny Kosmowskiej	10c	30-240
Rzepichy	53b	30-240
Aleja Panieńskich Skał	8a	30-225
Wiosenna	16	30-237
Rzepichy	48	30-240
Jadwigi Majówny	12	30-298
Morelowa	20	30-222
Na Wierzchowinach	19	30-222
Grzegorza Korzeniaka	39	30-298
Poniedziałkowy Dół	8	30-231
Zakręt	10	30-245
Grabowa	12	30-227
Grzegorza Korzeniaka	19	30-298
Rzepichy	1a	30-240
Księcia Józefa	299	30-243
Czyżyków	4	30-244
Chełmska	1A	30-238
Wiosenna	10	30-237
Księcia Józefa	210	30-243
Rzepichy	4	30-240
Jantarowa	15A	30-298
Grzegorza Korzeniaka	27	30-298
Królowej Jadwigi	304a	30-218
Za Skłonem	19	30-240
Księcia Józefa	210a	30-243
Chełmska	33	30-238
Chełmska	31a	30-238
Za Skłonem	18	30-240
Olszanicka	43	30-241
Aleja Kasztanowa	7a	30-227
Zakamycze	49	30-240
Orla	14c	30-244
Księcia Józefa	263	30-250
Aleja Kasztanowa	63a	30-238
Morelowa	24	30-222
Kopalina	2	30-229
Bodziszkowa	9	30-223
Dolina	5	30-222
Agrestowa	7	30-221
Sokola	54	30-244
Leśna	4a	30-232
Orla	1a	30-244
Pod Stokiem	3	30-236
Morelowa	5	30-222
Zaszkolna	6	30-243
Rzepichy	43	30-240
Jontkowa Górka	27	30-224
Aleja Modrzewiowa	10c	30-224
Chełmska	8a	30-238
Okrąg	5	30-243
Księcia Józefa	209	30-250
Zielony Dół	1	30-228
Grzegorza Korzeniaka	23	30-298
Księcia Józefa	150a	30-243
Przyszłości	2	30-237
Na Wirach	24	30-244
Zakamycze	5	30-240
Rzepichy	24	30-240
Księcia Józefa	207	30-250
Księcia Józefa	110	30-250
Rzepichy	4b	30-240
Aleja Kasztanowa	3	30-227
Halki	10	30-228
Kazimierza Nitscha	11	30-225
Zofii Stryjeńskiej	13a	30-298
Chełmska	5	30-238
Wiosenna	8f	30-237
Poniedziałkowy Dół	4	30-231
Sępia	27	30-245
Księcia Józefa	193	30-250
Orla	14b	30-244
Bagatela	7	30-243
Jadwigi Majówny	38	30-298
Grabowa	2	30-227
Aleja Kasztanowa	53	30-227
Jontkowa Górka	12a	30-224
Włodzimierza Puchalskiego	7	30-244
Jadwigi Majówny	1	30-298
Wiosenna	10d	30-237
Na Wierzchowinach	17	30-222
Chełmska	17	30-238
Zakamycze	46a	30-240
Cisowa	1a	30-229
Kazimierza Nitscha	4a	30-225
Orla	140	30-244
Jesionowa	18	30-222
Orla	62	30-244
Halki	2	30-228
Orla	6	30-244
Starowolska	7a	30-231
Zofii Stryjeńskiej	5	30-298
Bolesława Leśmiana	5e	30-240
Królowej Jadwigi	304	30-218
Orla	36	30-244
Księcia Józefa	373	30-243
Sokola	52	30-244
Zakamycze	36a	30-240
Jadwigi Majówny	12a	30-298
Zakręt	28	30-245
Jontkowa Górka	27a	30-224
Jadwigi Majówny	25	30-298
Ireny Kosmowskiej	15a	30-240
Zofii Stryjeńskiej	4	30-298
Astronautów	2	30-243
Grzegorza Korzeniaka	6	30-298
Olszanicka	34c	30-241
Dworna	46	30-244
Starowolska	25a	30-231
Orla	14	30-244
Astronautów	14a	30-243
Królowej Jadwigi	297b	30-234
Królowej Jadwigi	241	30-218
Królowej Jadwigi	282b	30-218
Insurekcji Kościuszkowskiej	15	30-298
Księcia Józefa	186a	30-243
Orla	51	30-244
Księcia Józefa	371	30-243
Agrestowa	11	30-221
Na Wirach	11	30-244
Aleja Sosnowa	2b	30-224
Orla	14a	30-244
Agrestowa	3	30-221
Księcia Józefa	202	30-243
Księcia Józefa	337b	30-243
Krańcowa	4	30-223
Leona Chwistka	14	30-227
Sarnie Uroczysko	14	30-225
Zakręt	32	30-245
Porzecze	3	30-298
Sokola	10	30-244
Przyszłości	2c	30-237
Królowej Jadwigi	290	30-218
Władysława Raczkiewicza	12a	30-298
Junacka	20	30-237
Zakamycze	44a	30-240
Księcia Józefa	263A	30-243
Księcia Józefa	160	30-243
Halki	4a	30-228
Na Wirach	52	30-244
Sarnie Uroczysko	17a	30-225
Jodłowa	27a	30-251
Olszanicka	13d	30-241
Chełmska	18	30-238
Księcia Józefa	194	30-243
Wilczy Stok	2	30-237
Aleja Kasztanowa	76b	30-238
Chełmska	41e	30-238
Jana i Józefa Kotlarczyków	4	30-225
Aleja Modrzewiowa	6	30-224
Dworna	9	30-244
Zakamycze	47	30-240
Księcia Józefa	168	30-243
Chełmska	52	30-238
Aleja Sosnowa	3b	30-224
Zaogrodzie	15	30-243
Daleka	23	30-245
Aleja Kasztanowa	44c	30-227
Chełmska	39	30-238
Morelowa	7	30-222
Głogowiec	7	30-240
Zakręt	12	30-245
Księcia Józefa	166a	30-243
Na Wierzchowinach	1d	30-222
Księcia Józefa	206	30-243
Chełmska	7	30-238
Pod Szańcami	9	30-240
Wincentego Oszustowskiego	3	30-243
Księcia Józefa	187	30-250
Za Skłonem	3	30-240
Dworna	17a	30-244
Aleja Kasztanowa	44a	30-227
Chełmska	40a	30-238
Rysi Stok	16	30-237
Powstania Styczniowego	6	30-298
Księcia Józefa	345	30-243
Sokola	5	30-244
Kaszubska	12	30-245
Zakamycze	42f	30-240
Królowej Jadwigi	299a	30-234
Leona Chwistka	16	30-227
Księcia Józefa	339c	30-243
Na Wirach	54	30-244
Chełmska	25b	30-238
Zaogrodzie	23	30-243
Zofii Stryjeńskiej	9	30-298
Na Wirach	46	30-244
Sarnie Uroczysko	17	30-225
Rysi Stok	20	30-237
Księcia Józefa	351	30-243
Grabowa	3	30-227
Na Wirach	38	30-244
Królowej Jadwigi	292a	30-218
Zakamycze	34	30-240
Porzecze	4	30-298
Daleka	19	30-245
Aleja Kasztanowa	37a	30-227
Aleja Modrzewiowa	9	30-224
Pod Szańcami	5a	30-240
Zakamycze	34b	30-240
Jodłowa	46	30-251
Wincentego Oszustowskiego	5	30-243
Aleja Kasztanowa	74	30-238
Niezapominajek	9	30-239
Kazimierza Wyżgi	7	30-240
Leśna	15	30-232
Księcia Józefa	196a	30-243
Jagiełka	4	30-240
Jeleniowa	18	30-230
Rzepichy	47	30-240
Dworna	12	30-244
Nad Źródłem	3	30-240
Agrestowa	13	30-221
Aleja Sosnowa	4a	30-224
Zakręt	13	30-245
Księcia Józefa	267a	30-250
Księcia Józefa	281	30-250
Przepiórcza	6	30-245
Wiosenna	8e	30-237
Na Wirach	60	30-244
Królowej Jadwigi	299c	30-234
Orla	23	30-244
Dworna	17	30-244
Wiosenna	1a	30-237
Sarnie Uroczysko	3	30-225
Aleja Kasztanowa	41	30-227
Na Wirach	7	30-244
Sokola	26	30-244
Aleja Kasztanowa	50a	30-227
Za Skłonem	17	30-240
Sokola	11	30-244
Księcia Józefa	184	30-243
Bolesława Leśmiana	12a	30-240
Kazimierza Wyżgi	13	30-240
Bolesława Leśmiana	1	30-240
Księcia Józefa	273	30-250
Księcia Józefa	216	30-243
Bielańska	8	30-246
Aleja Kasztanowa	78	30-238
Jemiołuszek	6	30-244
Królowej Jadwigi	275b	30-218
Kaszubska	8	30-245
Orla	5	30-244
Na Wierzchowinach	3b	30-222
Astronautów	10c	30-243
Bolesława Leśmiana	1a	30-240
Księcia Józefa	148	30-243
Rysi Stok	1	30-237
Jodłowa	25	30-251
Księcia Józefa	319	30-243
Czajek	12	30-245
Bodziszkowa	7	30-223
Pod Szańcami	6	30-240
Na Wirach	48	30-244
Księcia Józefa	223	30-250
Adriana Baranieckiego	3	30-227
Księcia Józefa	377	30-243
Na Wirach	62	30-244
Księcia Józefa	212	30-243
Junacka	29	30-237
Aleja Modrzewiowa	5	30-224
Aleja Kasztanowa	15a	30-227
Kogucia	6	30-222
Insurekcji Kościuszkowskiej	1	30-298
Włodzimierza Puchalskiego	8	30-244
Jontkowa Górka	5a	30-224
Na Wirach	56	30-244
Agrestowa	8	30-221
Na Wirach	3	30-244
Chełmska	48	30-238
Nad Zalewem	4ł	30-235
Królowej Jadwigi	299f	30-234
Sokola	84	30-244
Bolesława Leśmiana	15	30-240
Chełmska	8	30-238
Na Wirach	58	30-244
Królowej Jadwigi	297a	30-234
Jeleniowa	12	30-230
Kopalina	7a	30-229
Leśna	8	30-232
Aleja Sosnowa	8	30-224
Orla	9	30-244
Agrestowa	5	30-221
Przepiórcza	2	30-245
Cisowa	4	30-229
Na Wirach	44	30-244
Królowej Jadwigi	308	30-218
Orla	53	30-244
Cisowa	3	30-229
Jadwigi Majówny	76	30-298
Księcia Józefa	333	30-243
Rzepichy	62b	30-240
Królowej Jadwigi	241a	30-218
Królowej Jadwigi	300	30-218
Jontkowa Górka	17	30-224
Księcia Józefa	108	30-250
Królowej Jadwigi	321	30-234
Aleja Kasztanowa	46	30-227
Księcia Józefa	375	30-243
Zaogrodzie	29	30-243
Bodziszkowa	10	30-223
Jana i Józefa Kotlarczyków	22	30-225
Junacka	16	30-237
Halki	9	30-228
Daleka	4	30-245
Wiosenna	10f	30-237
Jodłowa	24	30-251
Na Wirach	42	30-244
Królowej Jadwigi	263	30-218
Na Wierzchowinach	13	30-222
Rzepichy	52	30-240
Aleja Modrzewiowa	8	30-224
Dolina	14	30-222
Królowej Jadwigi	327	30-234
Halki	12	30-228
Na Wirach	64	30-244
Królowej Jadwigi	245a	30-218
Rysi Stok	4	30-237
Chełmska	58	30-238
Na Wirach	50	30-244
Księcia Józefa	112	30-250
Jodłowa	12	30-251
Kopalina	6	30-229
Jontkowa Górka	14a	30-224
Leona Chwistka	12	30-227
Zakręt	43	30-245
Jadwigi Majówny	48	30-298
Leśna	3	30-232
Księcia Józefa	128	30-250
Rzepichy	42	30-240
Zakręt	27	30-245
Bielańska	18b	30-246
Kopalina	4	30-229
Zofii Stryjeńskiej	16	30-298
Księcia Józefa	181a	30-250
Kazimierza Nitscha	7	30-225
Orla	18	30-244
Jodłowa	26	30-251
Jeleniowa	10	30-230
Aleja Kasztanowa	48a	30-227
Junacka	12	30-237
Orla	56	30-244
Orla	142	30-244
Księcia Józefa	191	30-250
Olszanicka	45	30-241
Dworna	16	30-244
Kazimierza Wyżgi	11b	30-240
Puszczyków	5	30-244
Leśna	14	30-232
Orla	59	30-244
Księcia Józefa	190	30-243
Czajek	20	30-245
Dworna	36	30-244
Grzegorza Korzeniaka	25	30-298
Jodłowa	31a	30-251
Chełmska	35	30-238
Dolina	9	30-222
Agrestowa	10	30-221
Chełmska	3	30-238
Morelowa	18a	30-222
Na Wirach	40	30-244
Jontkowa Górka	23	30-224
Nad Źródłem	9	30-240
Królowej Jadwigi	275c	30-218
Starowolska	23b	30-231
Zakamycze	44	30-240
Bagatela	4	30-243
Rzepichy	62c	30-240
Aleja Sosnowa	1a	30-224
Insurekcji Kościuszkowskiej	2	30-298
Wilczy Stok	1	30-237
Zakręt	21	30-245
Morelowa	26	30-222
Jontkowa Górka	5	30-224
Olszanicka	15	30-241
Bagatela	10	30-243
Zaogrodzie	11	30-243
Aleja Sosnowa	4	30-224
Jodłowa	48	30-251
Zaszkolna	12	30-243
Aleja Kasztanowa	6	30-227
Aleja Modrzewiowa	10	30-224
Oświęcimska	10	30-236
Morelowa	4b	30-222
Zakamycze	40	30-240
Olszanicka	14	30-241
Dworna	17b	30-244
Adriana Baranieckiego	8	30-227
Dolina	12	30-222
Zofii Stryjeńskiej	14a	30-298
Zakamycze	3	30-240
Księcia Józefa	241	30-250
Grzegorza Korzeniaka	43	30-298
Zakamycze	30	30-240
Starowolska	17b	30-231
Rysi Stok	12	30-237
Okrąg	9	30-243
Rzepichy	31	30-240
Rzepichy	3a	30-240
Jontkowa Górka	31	30-224
Aleja Modrzewiowa	7	30-224
Aleja Modrzewiowa	13	30-224
Zakręt	15	30-245
Powstania Styczniowego	18	30-298
Aleja Panieńskich Skał	7	30-225
Zakamycze	25	30-240
Grzegorza Korzeniaka	29	30-298
Jadwigi Majówny	56a	30-298
Zakamycze	42e	30-240
Bagatela	5	30-243
Dworna	15	30-244
Chełmska	50	30-238
Jana i Józefa Kotlarczyków	11	30-225
Rzepichy	16	30-240
Bielańska	10	30-246
Władysława Raczkiewicza	13	30-298
Daleka	2b	30-245
Jodłowa	14	30-251
Jana i Józefa Kotlarczyków	5	30-225
Dworna	6	30-244
Junacka	10b	30-237
Księcia Józefa	285b	30-250
Aleja Kasztanowa	72	30-238
Leona Chwistka	10	30-227
Świerkowa	4a	30-229
Na Wierzchowinach	21	30-222
Księcia Józefa	321	30-243
Pod Szańcami	7a	30-240
Księcia Józefa	323	30-243
Kazimierza Nitscha	4	30-225
Agrestowa	6	30-221
Księcia Józefa	343	30-243
Chełmska	11	30-238
Księcia Józefa	146c	30-243
Sokola	24	30-244
Jadwigi Majówny	21	30-298
Grzegorza Korzeniaka	31	30-298
Księcia Józefa	196	30-243
Astronautów	10b	30-243
Kaszubska	12a	30-245
Zakręt	19	30-245
Królowej Jadwigi	299d	30-234
Królowej Jadwigi	295a	30-234
Księcia Józefa	188	30-243
Jadwigi Majówny	12b	30-298
Powstania Styczniowego	6a	30-298
Zakamycze	51	30-240
Oświęcimska	6	30-236
Pod Szańcami	3a	30-240
Włodzimierza Puchalskiego	5	30-244
Rzepichy	18	30-240
Kaszubska	18	30-245
Kopalina	6a	30-229
Chełmska	24a	30-238
Leśna	19	30-232
Wiosenna	8d	30-237
Czajek	18	30-245
Gajówka	33	30-250
Cisowa	18	30-229
Aleja Kasztanowa	5	30-227
Księcia Józefa	343a	30-243
Aleja Kasztanowa	44b	30-227
Okrąg	4	30-243
Puszczyków	4	30-244
Jadwigi Majówny	44	30-298
Grzegorza Korzeniaka	55	30-298
Kazimierza Nitscha	5	30-225
Zakręt	39	30-245
Sokola	16	30-244
Sarnie Uroczysko	19	30-225
Orla	46	30-244
Czyżyków	1	30-244
Morelowa	24d	30-222
Na Wirach	28	30-244
Zakamycze	53	30-240
Królowej Jadwigi	305	30-234
Zofii Stryjeńskiej	19a	30-298
Księcia Józefa	369	30-243
Bolesława Leśmiana	8b	30-240
Księcia Józefa	200	30-243
Krucza	6a	30-245
Sokola	56	30-244
Wincentego Oszustowskiego	15	30-243
Sępia	56	30-245
Aleja Sosnowa	2a	30-224
Władysława Raczkiewicza	7	30-298
Przegorzalska	23	30-252
Rzepichy	55	30-240
Zakręt	26	30-245
Morelowa	24c	30-222
Sępia	25	30-245
Księcia Józefa	144	30-243
Przyszłości	13	30-237
Jontkowa Górka	7	30-224
Jana i Józefa Kotlarczyków	12	30-225
Okrąg	30	30-243
Księcia Józefa	249	30-250
Bielańska	4	30-246
Jadwigi Majówny	70	30-298
Olszanicka	30	30-241
Zakręt	3	30-245
Sarnie Uroczysko	8	30-225
Księcia Józefa	192	30-243
Morelowa	24b	30-222
Morelowa	4c	30-222
Jadwigi Majówny	68a	30-298
Jadwigi Majówny	58a	30-298
Sępia	31	30-245
Dworna	14	30-244
Jadwigi Majówny	32	30-298
Daleka	9	30-245
Orla	7	30-244
Królowej Jadwigi	247a	30-218
Jadwigi Majówny	37	30-298
Oświęcimska	5	30-236
Halki	4	30-228
Chełmska	41A	30-238
